pig_gene_id,gene_symbol,description,success,biomarker_label,human_length,importance
ENSSSCG00000016542,LRGUK,leucine rich repeats and guanylate kinase domain containing [Source:VGNC Symbol;Acc:VGNC:89808],True,,137296.0,3.2189534505208335
ENSSSCG00000040582,,,True,,,3.1500799655914307
ENSSSCG00000010629,ADRA2A,adrenoceptor alpha 2A [Source:NCBI gene (formerly Entrezgene);Acc:399501],True,,3878.0,3.1161038875579834
ENSSSCG00000034364,SPECC1,sperm antigen with calponin homology and coiled-coil domains 1 [Source:VGNC Symbol;Acc:VGNC:93398],True,,310161.0,3.093337078889211
ENSSSCG00000023215,MAOB,monoamine oxidase B [Source:NCBI gene (formerly Entrezgene);Acc:414909],True,,116159.0,3.068202182184905
ENSSSCG00000007465,B4GALT5,"beta-1,4-galactosyltransferase 5 [Source:VGNC Symbol;Acc:VGNC:96499]",True,,80963.0,3.0427167415618896
ENSSSCG00000003089,TOMM40,translocase of outer mitochondrial membrane 40 [Source:VGNC Symbol;Acc:VGNC:94305],True,,13126.0,3.0356200536092124
ENSSSCG00000026180,NRXN1,neurexin 1 [Source:UniProtKB Gene Name;Acc:A0A5G2R712],True,,1307072.0,3.013001705209414
ENSSSCG00000011936,ZBED2,zinc finger BED-type containing 2 [Source:VGNC Symbol;Acc:VGNC:95055],True,,2446.0,2.9872132843981185
ENSSSCG00000032062,WDR55,WD repeat domain 55 [Source:VGNC Symbol;Acc:VGNC:94929],True,,9256.0,2.982646663983663
ENSSSCG00000049875,,,False,,,2.971663475036621
ENSSSCG00000026196,FAM13A,family with sequence similarity 13 member A [Source:VGNC Symbol;Acc:VGNC:98924],True,,385443.0,2.9632587366795633
ENSSSCG00000008842,KIT,"KIT proto-oncogene, receptor tyrosine kinase [Source:NCBI gene (formerly Entrezgene);Acc:396810]",True,,83516.0,2.955023447672526
ENSSSCG00000009722,SPOCK3,"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3 [Source:UniProtKB Gene Name;Acc:A0A5G2QKC7]",True,,501412.0,2.9515933195749917
ENSSSCG00000012686,MOSPD1,motile sperm domain containing 1 [Source:NCBI gene (formerly Entrezgene);Acc:100359355],True,,27857.0,2.9515109856923423
ENSSSCG00000017962,KDM6B,lysine demethylase 6B [Source:VGNC Symbol;Acc:VGNC:89416],True,,20603.0,2.9443542025983334
ENSSSCG00000048443,APLN,apelin [Source:VGNC Symbol;Acc:VGNC:110677],True,,9700.0,2.934573491414388
ENSSSCG00000041587,,,True,,,2.912403424580892
ENSSSCG00000024311,CCR3,C-C motif chemokine receptor 2 [Source:VGNC Symbol;Acc:VGNC:86370],True,,135816.0,2.9075549269715943
ENSSSCG00000032658,TRAF4,TNF receptor associated factor 4 [Source:VGNC Symbol;Acc:VGNC:94363],True,,6945.0,2.9069433212280273
ENSSSCG00000013594,FBN3,fibrillin 3 [Source:VGNC Symbol;Acc:VGNC:88026],True,,84291.0,2.902963320414225
ENSSSCG00000003920,HPDL,4-hydroxyphenylpyruvate dioxygenase like [Source:UniProtKB Gene Name;Acc:A0A8W4F766],True,,1815.0,2.8578199545542398
ENSSSCG00000044952,NLRX1,NLR family member X1 [Source:NCBI gene (formerly Entrezgene);Acc:100518678],True,,17536.0,2.8126866022745767
ENSSSCG00000017795,NSRP1,nuclear speckle splicing regulatory protein 1 [Source:VGNC Symbol;Acc:VGNC:90913],True,,70954.0,2.812469959259033
ENSSSCG00000003608,LCK,"LCK proto-onco, Src family tyrosine kinase [Source:VGNC Symbol;Acc:VGNC:89657]",True,,34926.0,2.810246785481771
ENSSSCG00000002340,PSEN1,presenilin 1 [Source:VGNC Symbol;Acc:VGNC:91897],True,,87273.0,2.782336632410685
ENSSSCG00000010135,DGCR8,DGCR8 microprocessor complex subunit [Source:NCBI gene (formerly Entrezgene);Acc:100616094],True,,31842.0,2.7670312697688737
ENSSSCG00000014039,RGS14,regulator of G protein signaling 14 [Source:VGNC Symbol;Acc:VGNC:92261],True,,14703.0,2.7630340258280435
ENSSSCG00000026724,GUCY2C,guanylate cyclase 2C [Source:VGNC Symbol;Acc:VGNC:111750],True,,83967.0,2.753133455912272
ENSSSCG00000041478,,,True,,,2.7530433336893716
ENSSSCG00000012966,C11orf68,chromosome 2 C11orf68 homolog [Source:VGNC Symbol;Acc:VGNC:85999],True,,2252.0,2.752959887186686
ENSSSCG00000036007,MFAP4,microfibril associated protein 4 [Source:VGNC Symbol;Acc:VGNC:90176],True,,3755.0,2.7134401643027863
ENSSSCG00000006590,S100A8,S100 calcium binding protein A8 [Source:NCBI gene (formerly Entrezgene);Acc:100127488],True,,1110.0,2.676379998524984
ENSSSCG00000013150,,,True,,,2.6708860055853925
ENSSSCG00000051557,,,True,,,2.667709986368815
ENSSSCG00000040140,CD3E,CD3 epsilon subunit of T-cell receptor complex [Source:NCBI gene (formerly Entrezgene);Acc:397455],True,,11445.0,2.6653770208358765
ENSSSCG00000028720,NXN,nucleoredoxin [Source:VGNC Symbol;Acc:VGNC:90994],True,,180466.0,2.6603509287039437
ENSSSCG00000023993,CD96,CD96 molecule [Source:VGNC Symbol;Acc:VGNC:86437],True,,373277.0,2.655247359226147
ENSSSCG00000030076,SLC6A13,solute carrier family 6 member 13 [Source:VGNC Symbol;Acc:VGNC:93156],True,,42252.0,2.6549159636100135
ENSSSCG00000019663,ssc-mir-29c,ssc-mir-29c [Source:miRBase;Acc:MI0002460],True,,,2.639996608098348
ENSSSCG00000040770,CA1,carbonic anhydrase 1 [Source:VGNC Symbol;Acc:VGNC:98744],True,,51406.0,2.6360208988189697
ENSSSCG00000032661,,,True,,,2.576723337173462
ENSSSCG00000015986,HOXD1,homeobox D1 [Source:VGNC Symbol;Acc:VGNC:96350],True,,2240.0,2.5519810132682323
ENSSSCG00000005982,,N-terminal glutamine amidase 1 [Source:VGNC Symbol;Acc:VGNC:98898],True,,,2.5489500363667807
ENSSSCG00000038969,DMPK,DM1 protein kinase [Source:VGNC Symbol;Acc:VGNC:87349],True,,12843.0,2.545959343512853
ENSSSCG00000012774,DUSP9,dual specificity phosphatase 9 [Source:VGNC Symbol;Acc:VGNC:87490],True,,8925.0,2.5343499978383384
ENSSSCG00000037358,,serum amyloid A-3 protein [Source:NCBI gene (formerly Entrezgene);Acc:733603],True,,,2.5129767258961997
ENSSSCG00000003318,,,False,,,2.509043296178182
ENSSSCG00000038643,KLF11,KLF transcription factor 11 [Source:NCBI gene (formerly Entrezgene);Acc:100174954],True,,11987.0,2.5052926568314433
ENSSSCG00000034266,CACNA1H,calcium voltage-gated channel subunit alpha1 H [Source:VGNC Symbol;Acc:VGNC:97041],True,,71066.0,2.48436715391775
ENSSSCG00000013934,CILP2,cartilage intermediate layer protein 2 [Source:VGNC Symbol;Acc:VGNC:86704],True,,8411.0,2.479593276977539
ENSSSCG00000009144,ETNPPL,ethanolamine-phosphate phospho-lyase [Source:VGNC Symbol;Acc:VGNC:97987],True,,21259.0,2.4756964407861233
ENSSSCG00000025523,COL2A1,collagen type II alpha 1 chain [Source:VGNC Symbol;Acc:VGNC:86874],True,,31722.0,2.406281054019928
ENSSSCG00000006116,SLC26A7,solute carrier family 26 member 7 [Source:VGNC Symbol;Acc:VGNC:93032],True,,188661.0,2.3773132960001626
ENSSSCG00000011885,FBXO40,F-box protein 40 [Source:VGNC Symbol;Acc:VGNC:88045],True,,37548.0,2.37335999806722
ENSSSCG00000039407,,,True,,,2.360326608022054
ENSSSCG00000038626,ZNF513,zinc finger protein 513 [Source:VGNC Symbol;Acc:VGNC:110732],True,,3555.0,2.3516966501871743
ENSSSCG00000024771,TICAM1,TIR domain containing adaptor molecule 1 [Source:VGNC Symbol;Acc:VGNC:93976],True,,15780.0,2.343891203403473
ENSSSCG00000044113,,,False,,,2.318476676940918
ENSSSCG00000043275,,,False,,,2.2959033648173013
ENSSSCG00000034723,PYCR1,pyrroline-5-carboxylate reductase 1 [Source:VGNC Symbol;Acc:VGNC:92018],True,,10034.0,2.2903960049152374
ENSSSCG00000002632,SLC28A1,solute carrier family 28 member 1 [Source:VGNC Symbol;Acc:VGNC:93041],True,,61191.0,2.281089941660563
ENSSSCG00000048284,,,False,,,2.2788033485412598
ENSSSCG00000012238,TSPAN7,tetraspanin 7 [Source:UniProtKB Gene Name;Acc:F1RXQ7],True,,127751.0,2.24420173962911
ENSSSCG00000022395,SLC25A35,solute carrier family 25 member 35 [Source:VGNC Symbol;Acc:VGNC:93011],True,,7647.0,2.232290029525757
ENSSSCG00000015487,TNFSF18,TNF superfamily member 18 [Source:VGNC Symbol;Acc:VGNC:94272],True,,11739.0,2.218015208529929
ENSSSCG00000029371,,,False,,,2.2135642672462077
ENSSSCG00000036074,AP1S2,adaptor related protein complex 1 subunit sigma 2 [Source:VGNC Symbol;Acc:VGNC:85382],True,,29125.0,2.202986717224121
ENSSSCG00000032720,SMPX,small muscle protein X-linked [Source:NCBI gene (formerly Entrezgene);Acc:780438],True,,52198.0,2.188439965248108
ENSSSCG00000009364,FREM2,FRAS1 related extracellular matrix 2 [Source:VGNC Symbol;Acc:VGNC:88234],True,,200054.0,2.170282373825709
ENSSSCG00000050727,,,False,,,2.1652866204579673
ENSSSCG00000000116,POLR2F,"RNA polymerase II, I and III subunit F [Source:VGNC Symbol;Acc:VGNC:91650]",True,,89308.0,2.14013671875
ENSSSCG00000025253,,,True,,,2.1211116115252175
ENSSSCG00000044088,,,False,,,2.0858633518218994
ENSSSCG00000026945,LRRC2,leucine rich repeat containing 2 [Source:VGNC Symbol;Acc:VGNC:98079],True,,91712.0,2.0836000045140586
ENSSSCG00000022901,KLHDC3,kelch domain containing 3 [Source:VGNC Symbol;Acc:VGNC:89504],True,,7195.0,2.0764063000679016
ENSSSCG00000015513,ASTN1,astrotactin 1 [Source:VGNC Symbol;Acc:VGNC:85593],True,,307671.0,2.0702633062998452
ENSSSCG00000010359,,LIM domain binding 3 [Source:VGNC Symbol;Acc:VGNC:107405],True,,,2.06537659962972
ENSSSCG00000025138,ZNF579,zinc finger protein 579 [Source:VGNC Symbol;Acc:VGNC:98729],True,,4142.0,2.0558600425720215
ENSSSCG00000044429,,,False,,,2.047447601954142
ENSSSCG00000013513,PLIN5,perilipin 5 [Source:VGNC Symbol;Acc:VGNC:91561],True,,12716.0,2.019310108075539
ENSSSCG00000006378,SLAMF7,SLAM family member 7 [Source:VGNC Symbol;Acc:VGNC:109642],True,,15764.0,2.000150201842189
ENSSSCG00000036820,,,True,,,1.9765649884939194
ENSSSCG00000025527,,,True,,,1.9691466093063354
ENSSSCG00000034371,,,False,,,1.968416690826416
ENSSSCG00000040798,HOXC5,homeobox C5 [Source:VGNC Symbol;Acc:VGNC:103288],True,,2311.0,1.9611700375874836
ENSSSCG00000015507,TNN,tenascin N [Source:VGNC Symbol;Acc:VGNC:108622],True,,80566.0,1.9549866517384846
ENSSSCG00000030246,FCRLA,Fc receptor like A [Source:VGNC Symbol;Acc:VGNC:88073],True,,7394.0,1.951134334007899
ENSSSCG00000014985,MMP1,matrix metallopeptidase 1 [Source:NCBI gene (formerly Entrezgene);Acc:397320],True,,8759.0,1.9493366877237956
ENSSSCG00000024564,IMMT,inner membrane mitochondrial protein [Source:VGNC Symbol;Acc:VGNC:89124],True,,52828.0,1.9463519603013992
ENSSSCG00000014869,LRRC32,leucine rich repeat containing 32 [Source:VGNC Symbol;Acc:VGNC:108602],True,,13344.0,1.946035993595918
ENSSSCG00000033412,B4GALNT3,"beta-1,4-N-acetyl-galactosaminyltransferase 3 [Source:VGNC Symbol;Acc:VGNC:85731]",True,,103586.0,1.944967692097028
ENSSSCG00000033385,,,True,,,1.9441932837168376
ENSSSCG00000022945,UCHL1,ubiquitin C-terminal hydrolase L1 [Source:NCBI gene (formerly Entrezgene);Acc:396637],True,,12147.0,1.9353095057109992
ENSSSCG00000015523,RALGPS2,Ral GEF with PH domain and SH3 binding motif 2 [Source:VGNC Symbol;Acc:VGNC:92073],True,,196677.0,1.9215099414189656
ENSSSCG00000023105,NET1,neuroepithelial cell transforming 1 [Source:VGNC Symbol;Acc:VGNC:95622],True,,46499.0,1.9210159877936046
ENSSSCG00000039745,HMOX1,heme oxygenase 1 [Source:NCBI gene (formerly Entrezgene);Acc:445512],True,,13853.0,1.8997586071491241
ENSSSCG00000049987,,,False,,,1.898770014444987
ENSSSCG00000010190,ACTA1,"actin alpha 1, skeletal muscle [Source:NCBI gene (formerly Entrezgene);Acc:100154254]",True,,4424.0,1.8966146061817806
ENSSSCG00000005710,LAMC3,laminin subunit gamma 3 [Source:VGNC Symbol;Acc:VGNC:89626],True,,85324.0,1.8726089025537174
ENSSSCG00000026422,GPER1,G protein-coupled estrogen receptor 1 [Source:VGNC Symbol;Acc:VGNC:88584],True,,12303.0,1.8657466570536296
ENSSSCG00000040843,,melanocortin 2 receptor accessory protein [Source:VGNC Symbol;Acc:VGNC:108674],True,,,1.8651233514149983
ENSSSCG00000039633,,,False,,,1.8592995824292302
ENSSSCG00000038677,GJB3,gap junction protein beta 3 [Source:VGNC Symbol;Acc:VGNC:88463],True,,5155.0,1.8558467229207356
ENSSSCG00000021181,DHCR7,7-dehydrocholesterol reductase [Source:VGNC Symbol;Acc:VGNC:97964],True,,24675.0,1.8435423374176025
ENSSSCG00000018086,ND4L,NADH dehydrogenase subunit 4L [Source:NCBI gene (formerly Entrezgene);Acc:808509],True,,,1.8422839200745027
ENSSSCG00000043700,,,True,,,1.8410069445768993
ENSSSCG00000045067,,,False,,,1.8385233879089355
ENSSSCG00000016866,GHR,growth hormone receptor [Source:VGNC Symbol;Acc:VGNC:110663],True,,298439.0,1.8352600733439128
ENSSSCG00000009019,RPS3A,ribosomal protein S3A [Source:NCBI gene (formerly Entrezgene);Acc:414390],True,,5087.0,1.8263892730077107
ENSSSCG00000033830,CCDC8,coiled-coil domain containing 8 [Source:VGNC Symbol;Acc:VGNC:86314],True,,3235.0,1.8145100275675456
ENSSSCG00000010317,DUSP29,dual specificity phosphatase 29 [Source:VGNC Symbol;Acc:VGNC:87473],True,,36183.0,1.8107666969299316
ENSSSCG00000039842,ZSCAN25,zinc finger and SCAN domain containing 25 [Source:VGNC Symbol;Acc:VGNC:95329],True,,15785.0,1.809486707051595
ENSSSCG00000025644,,CD1 antigen [Source:NCBI gene (formerly Entrezgene);Acc:396785],True,,,1.807753324508667
ENSSSCG00000050649,,,False,,,1.8056903928518295
ENSSSCG00000023984,RSL1D1,ribosomal L1 domain containing 1 [Source:VGNC Symbol;Acc:VGNC:92477],True,,17736.0,1.803174376487732
ENSSSCG00000007528,PHACTR3,phosphatase and actin regulator 3 [Source:VGNC Symbol;Acc:VGNC:95667],True,,270216.0,1.7994200388590496
ENSSSCG00000009889,ALDH2,aldehyde dehydrogenase 2 family member [Source:NCBI gene (formerly Entrezgene);Acc:733685],True,,50645.0,1.7904300689697266
ENSSSCG00000037237,COMTD1,catechol-O-methyltransferase domain containing 1 [Source:VGNC Symbol;Acc:VGNC:86893],True,,2434.0,1.7601399421691895
ENSSSCG00000000712,ANO2,von Willebrand factor [Source:VGNC Symbol;Acc:VGNC:104094],True,,414363.0,1.7582434018452961
ENSSSCG00000046775,,,False,,,1.7526866594950359
ENSSSCG00000009971,ZNRF3,zinc and ring finger 3 [Source:VGNC Symbol;Acc:VGNC:95318],True,,173923.0,1.7506596532960732
ENSSSCG00000039094,PLEC,plectin [Source:VGNC Symbol;Acc:VGNC:91530],True,,61582.0,1.7504432996114094
ENSSSCG00000003793,LRRC7,leucine rich repeat containing 7 [Source:VGNC Symbol;Acc:VGNC:110403],True,,584023.0,1.7466133038202922
ENSSSCG00000005467,HSDL2,hydroxysteroid dehydrogenase like 2 [Source:VGNC Symbol;Acc:VGNC:88992],True,,92357.0,1.7458057875046507
ENSSSCG00000028387,CNKSR1,connector enhancer of kinase suppressor of Ras 1 [Source:VGNC Symbol;Acc:VGNC:86821],True,,12408.0,1.7358032179375489
ENSSSCG00000035293,,insulin like growth factor 2 [Source:NCBI gene (formerly Entrezgene);Acc:396916],True,,,1.7245012844602268
ENSSSCG00000012277,TIMP1,TIMP metallopeptidase inhibitor 1 [Source:NCBI gene (formerly Entrezgene);Acc:396862],True,,4381.0,1.7232600053151448
ENSSSCG00000003342,DVL1,dishevelled segment polarity protein 1 [Source:VGNC Symbol;Acc:VGNC:96985],True,,14669.0,1.7083600362141926
ENSSSCG00000031003,,,True,,,1.7067100207010906
ENSSSCG00000048944,,,False,,,1.7020166714986165
ENSSSCG00000016243,RHBDD1,rhomboid domain containing 1 [Source:VGNC Symbol;Acc:VGNC:95989],True,,163634.0,1.6995166142781575
ENSSSCG00000009592,NFIL3,"nuclear factor, interleukin 3 regulated [Source:VGNC Symbol;Acc:VGNC:90717]",True,,16318.0,1.6934769650300343
ENSSSCG00000029304,STEAP3,STEAP3 metalloreductase [Source:VGNC Symbol;Acc:VGNC:96048],True,,43205.0,1.6907773365577061
ENSSSCG00000018044,ALDH3A1,aldehyde dehydrogenase 3 family member A1 [Source:VGNC Symbol;Acc:VGNC:85238],True,,10959.0,1.6809033552805583
ENSSSCG00000000014,FAM118A,family with sequence similarity 118 member A [Source:VGNC Symbol;Acc:VGNC:87893],True,,33856.0,1.668030023574829
ENSSSCG00000014248,LMNB1,lamin B1 [Source:VGNC Symbol;Acc:VGNC:89760],True,,60609.0,1.6670033137003581
ENSSSCG00000043210,,,False,,,1.658043384552002
ENSSSCG00000030325,,,False,,,1.6472566922505696
ENSSSCG00000033229,,,True,,,1.6401803145805995
ENSSSCG00000044023,,,True,,,1.63632865746816
ENSSSCG00000005604,PBX3,PBX homeobox 3 [Source:VGNC Symbol;Acc:VGNC:91205],True,,220640.0,1.6333677942554157
ENSSSCG00000002041,SLC7A7,solute carrier family 7 member 7 [Source:VGNC Symbol;Acc:VGNC:93175],True,,56598.0,1.6316866477330525
ENSSSCG00000017563,MYCBPAP,MYCBP associated protein [Source:VGNC Symbol;Acc:VGNC:90503],True,,23092.0,1.6189799706141155
ENSSSCG00000024413,PPP2R1A,protein phosphatase 2 scaffold subunit Aalpha [Source:NCBI gene (formerly Entrezgene);Acc:397088],True,,58582.0,1.6187334060668945
ENSSSCG00000051726,,,False,,,1.6116270025571187
ENSSSCG00000004850,ENTREP2,endosomal transmembrane epsin interactor 2 [Source:VGNC Symbol;Acc:VGNC:87943],True,,450851.0,1.6013499895731609
ENSSSCG00000036756,ZNF496,zinc finger protein 496 [Source:VGNC Symbol;Acc:VGNC:95251],True,,35410.0,1.5972166061401367
ENSSSCG00000004039,SLC22A3,solute carrier family 22 member 3 [Source:VGNC Symbol;Acc:VGNC:92980],True,,104204.0,1.5971933205922444
ENSSSCG00000012912,TBC1D10C,TBC1 domain family member 10C [Source:VGNC Symbol;Acc:VGNC:93761],True,,11638.0,1.5933466752370198
ENSSSCG00000037771,,,False,,,1.5882190341750781
ENSSSCG00000050474,,,True,,,1.580033302307129
ENSSSCG00000041013,,,True,,,1.564186731974284
ENSSSCG00000040651,,,False,,,1.5640083253383636
ENSSSCG00000050354,,,False,,,1.5622833569844563
ENSSSCG00000051529,,,False,,,1.5600166320800781
ENSSSCG00000048481,,,False,,,1.547906716664632
ENSSSCG00000001382,DDR1,discoidin domain receptor tyrosine kinase 1 [Source:VGNC Symbol;Acc:VGNC:107135],True,,24557.0,1.5443166891733806
ENSSSCG00000005291,TLE1,"TLE family member 1, transcriptional corepressor [Source:VGNC Symbol;Acc:VGNC:103189]",True,,107368.0,1.543696641921997
ENSSSCG00000036538,,,True,,,1.5081599553426106
ENSSSCG00000051600,,,True,,,1.508073329925537
ENSSSCG00000022726,RHOD,ras homolog family member D [Source:VGNC Symbol;Acc:VGNC:92287],True,,15180.0,1.5075999895731609
ENSSSCG00000029212,GDE1,glycerophosphodiester phosphodiesterase 1 [Source:VGNC Symbol;Acc:VGNC:88396],True,,20430.0,1.5047316551208496
ENSSSCG00000033114,,,True,,,1.498083660999934
ENSSSCG00000034192,,G protein subunit alpha o1 [Source:VGNC Symbol;Acc:VGNC:88525],True,,,1.494265911790232
ENSSSCG00000016475,,,True,,,1.493725021680196
ENSSSCG00000041966,,,False,,,1.4909966786702473
ENSSSCG00000016159,CPS1,carbamoyl-phosphate synthase 1 [Source:VGNC Symbol;Acc:VGNC:95991],True,,201425.0,1.475250005722046
ENSSSCG00000015249,ADAMTS8,ADAM metallopeptidase with thrombospondin type 1 motif 8 [Source:VGNC Symbol;Acc:VGNC:85088],True,,23686.0,1.4692799250284831
ENSSSCG00000031763,,,False,,,1.4672158354272444
ENSSSCG00000016049,HIBCH,3-hydroxyisobutyryl-CoA hydrolase [Source:VGNC Symbol;Acc:VGNC:96343],True,,154458.0,1.459273338317871
ENSSSCG00000040010,BCL2A1,BCL2 related protein A1 [Source:NCBI gene (formerly Entrezgene);Acc:100156860],True,,10304.0,1.4585633277893066
ENSSSCG00000027684,TRIM63,tripartite motif containing 63 [Source:NCBI gene (formerly Entrezgene);Acc:100431101],True,,17135.0,1.4568313658237457
ENSSSCG00000006578,S100A4,S100 calcium binding protein A4 [Source:VGNC Symbol;Acc:VGNC:92543],True,,6523.0,1.420026699701945
ENSSSCG00000000730,PRMT8,protein arginine methyltransferase 8 [Source:VGNC Symbol;Acc:VGNC:91825],True,,212628.0,1.4190799395243328
ENSSSCG00000000705,,,False,,,1.4185083030412595
ENSSSCG00000002681,HSDL1,hydroxysteroid dehydrogenase like 1 [Source:VGNC Symbol;Acc:VGNC:88991],True,,23071.0,1.416905795612062
ENSSSCG00000037850,,,True,,,1.415397339190046
ENSSSCG00000026233,,RNA polymerase III subunit G [Source:VGNC Symbol;Acc:VGNC:100335],True,,,1.3969373504320781
ENSSSCG00000038617,PCMTD2,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2 [Source:VGNC Symbol;Acc:VGNC:108730],True,,49899.0,1.3899633089701335
ENSSSCG00000018701,ssc-mir-378-1,ssc-mir-378-1 [Source:miRBase;Acc:MI0013088],True,,,1.3815010512868564
ENSSSCG00000010997,SPINK4,serine peptidase inhibitor Kazal type 4 [Source:NCBI gene (formerly Entrezgene);Acc:396872],True,,30202.0,1.3788400404155254
ENSSSCG00000011622,KBTBD12,kelch repeat and BTB domain containing 12 [Source:VGNC Symbol;Acc:VGNC:89315],True,,73893.0,1.370176633199056
ENSSSCG00000041935,HSPB7,heat shock protein family B (small) member 7 [Source:NCBI gene (formerly Entrezgene);Acc:100627988],True,,6569.0,1.36952613076816
ENSSSCG00000013909,CRLF1,cytokine receptor like factor 1 [Source:VGNC Symbol;Acc:VGNC:86998],True,,35521.0,1.3591183597842853
ENSSSCG00000000653,CD69,CD69 molecule [Source:NCBI gene (formerly Entrezgene);Acc:397165],True,,8415.0,1.3576466242472331
ENSSSCG00000009793,CLIP1,CAP-Gly domain containing linker protein 1 [Source:VGNC Symbol;Acc:VGNC:86766],True,,151346.0,1.3479666709899902
ENSSSCG00000010536,CNNM1,cyclin and CBS domain divalent metal cation transport mediator 1 [Source:VGNC Symbol;Acc:VGNC:86827],True,,64974.0,1.3433923323949177
ENSSSCG00000024463,PJA1,praja ring finger ubiquitin ligase 1 [Source:VGNC Symbol;Acc:VGNC:91469],True,,4800.0,1.3356232643127441
ENSSSCG00000005857,CYSRT1,cysteine rich tail 1 [Source:VGNC Symbol;Acc:VGNC:87133],True,,1141.0,1.3340097963809967
ENSSSCG00000032019,DNASE1L3,deoxyribonuclease 1L3 [Source:VGNC Symbol;Acc:VGNC:87376],True,,22440.0,1.3220442812889814
ENSSSCG00000050553,,,True,,,1.32013996442159
ENSSSCG00000032662,FGF6,fibroblast growth factor 6 [Source:VGNC Symbol;Acc:VGNC:88115],True,,17660.0,1.3188952182730038
ENSSSCG00000036747,WAS,WASP actin nucleation promoting factor [Source:VGNC Symbol;Acc:VGNC:96603],True,,14838.0,1.3122828776637714
ENSSSCG00000035937,DPT,dermatopontin [Source:VGNC Symbol;Acc:VGNC:98784],True,,33749.0,1.3085973213116329
ENSSSCG00000013045,OTUB1,"OTU deubiquitinase, ubiquitin aldehyde binding 1 [Source:NCBI gene (formerly Entrezgene);Acc:100302092]",True,,15958.0,1.3075366814931233
ENSSSCG00000027019,CACNA2D3,calcium voltage-gated channel auxiliary subunit alpha2delta 3 [Source:VGNC Symbol;Acc:VGNC:86122],True,,952130.0,1.3072632948557537
ENSSSCG00000029651,SLN,sarcolipin [Source:NCBI gene (formerly Entrezgene);Acc:733627],True,,12321.0,1.3071866830190022
ENSSSCG00000007770,ORAI3,ORAI calcium release-activated calcium modulator 3 [Source:VGNC Symbol;Acc:VGNC:91059],True,,7393.0,1.2994506610557437
ENSSSCG00000005928,MROH5,maestro heat like repeat family member 5/pseudo [Source:UniProtKB Gene Name;Acc:I3L940],True,,73401.0,1.2647783358891804
ENSSSCG00000015662,,complement component 4 binding protein alpha [Source:VGNC Symbol;Acc:VGNC:110575],True,,,1.2598443428675334
ENSSSCG00000021204,HOXA10,homeobox A10 [Source:VGNC Symbol;Acc:VGNC:88934],True,,9656.0,1.2555332978566487
ENSSSCG00000013040,TRPT1,tRNA phosphotransferase 1 [Source:VGNC Symbol;Acc:VGNC:94472],True,,3024.0,1.2331950167814891
ENSSSCG00000037669,PTPN7,protein tyrosine phosphatase non-receptor type 7 [Source:VGNC Symbol;Acc:VGNC:108279],True,,14576.0,1.233156681060791
ENSSSCG00000007857,ACSM3,acyl-CoA synthetase medium chain family member 3 [Source:VGNC Symbol;Acc:VGNC:85035],True,,187600.0,1.2238399982452393
ENSSSCG00000003018,LIPE,"lipase E, hormone sensitive type [Source:VGNC Symbol;Acc:VGNC:98493]",True,,25891.0,1.2188847656361759
ENSSSCG00000017993,NTN1,netrin 1 [Source:VGNC Symbol;Acc:VGNC:90931],True,,222790.0,1.2147763272126515
ENSSSCG00000015253,NTM,neurotrimin [Source:VGNC Symbol;Acc:VGNC:98164],True,,966344.0,1.2062099774678547
ENSSSCG00000013473,GNA15,G protein subunit alpha 15 [Source:VGNC Symbol;Acc:VGNC:88520],True,,27716.0,1.1972133318583171
ENSSSCG00000040624,REXO1,RNA exonuclease 1 homolog [Source:VGNC Symbol;Acc:VGNC:100851],True,,33245.0,1.191723346710205
ENSSSCG00000042206,,,True,,,1.1909433205922444
ENSSSCG00000005313,CCDC107,coiled-coil domain containing 107 [Source:VGNC Symbol;Acc:VGNC:86245],True,,3221.0,1.188889980316162
ENSSSCG00000049352,,,False,,,1.180963357289632
ENSSSCG00000006328,RXRG,retinoid X receptor gamma [Source:VGNC Symbol;Acc:VGNC:92530],True,,44433.0,1.179106632868449
ENSSSCG00000013988,,,False,,,1.1778299808502197
ENSSSCG00000032932,MSRB1,methionine sulfoxide reductase B1 [Source:NCBI gene (formerly Entrezgene);Acc:100037965],True,,4970.0,1.173928792277972
ENSSSCG00000026453,ACSM5,acyl-CoA synthetase medium chain family member 5 [Source:VGNC Symbol;Acc:VGNC:85036],True,,32029.0,1.1730000178019206
ENSSSCG00000045907,ADAM2,ADAM metallopeptidase domain 2 [Source:NCBI gene (formerly Entrezgene);Acc:397006],True,,94492.0,1.1680033206939697
ENSSSCG00000001718,CYP39A1,cytochrome P450 family 39 subfamily A member 1 [Source:NCBI gene (formerly Entrezgene);Acc:100113410],True,,103447.0,1.1605900128682454
ENSSSCG00000027334,EIF1AD,eukaryotic translation initiation factor 1A domain containing [Source:VGNC Symbol;Acc:VGNC:87603],True,,5927.0,1.156506319840749
ENSSSCG00000006635,SEMA6C,semaphorin 6C [Source:VGNC Symbol;Acc:VGNC:92710],True,,16128.0,1.1431533495585124
ENSSSCG00000023012,,,True,,,1.1317166884740193
ENSSSCG00000008427,,,False,,,1.1305178214485447
ENSSSCG00000047946,,,True,,,1.1247133413950603
