Sample_ID,Tissue,Tissue_detail,Age,Stage,Sex
SAMN00000421,Muscle,Muscle,125,Pre_pubertal_60_149d,Female
SAMN00000422,Muscle,Muscle,95,Pre_pubertal_60_149d,Female
SAMN00000423,Muscle,Muscle,96,Pre_pubertal_60_149d,Male
SAMN00000424,Muscle,Muscle,72,Pre_pubertal_60_149d,Female
SAMN00000425,Muscle,Muscle,95,Pre_pubertal_60_149d,Female
SAMN00000426,Muscle,Muscle,148,Pre_pubertal_60_149d,Male
SAMN00000427,Muscle,Muscle,146,Pre_pubertal_60_149d,Male
SAMN00000428,Muscle,Muscle,127,Pre_pubertal_60_149d,Female
SAMN00000429,Muscle,Muscle,131,Pre_pubertal_60_149d,Female
SAMN00000430,Muscle,Muscle,78,Pre_pubertal_60_149d,Male
SAMN00000431,Muscle,Muscle,141,Pre_pubertal_60_149d,Male
SAMN00000432,Muscle,Muscle,76,Pre_pubertal_60_149d,Male
SAMN00000433,Muscle,Muscle,81,Pre_pubertal_60_149d,Male
SAMN00000434,Muscle,Muscle,113,Pre_pubertal_60_149d,Female
SAMN00000435,Muscle,Muscle,139,Pre_pubertal_60_149d,Male
SAMN00000436,Muscle,Muscle,117,Pre_pubertal_60_149d,Female
SAMN00000437,Muscle,Muscle,122,Pre_pubertal_60_149d,Female
SAMN00000438,Muscle,Muscle,120,Pre_pubertal_60_149d,Male
SAMN00000439,Muscle,Muscle,135,Pre_pubertal_60_149d,Male
SAMN00000440,Muscle,Muscle,144,Pre_pubertal_60_149d,Female
SAMN00000441,Muscle,Muscle,63,Pre_pubertal_60_149d,Male
SAMN00000442,Muscle,Muscle,67,Pre_pubertal_60_149d,Female
SAMN00000443,Muscle,Muscle,141,Pre_pubertal_60_149d,Male
SAMN00000444,Muscle,Muscle,77,Pre_pubertal_60_149d,Male
SAMN00000445,Muscle,Muscle,87,Pre_pubertal_60_149d,Female
SAMN00000446,Muscle,Muscle,148,Pre_pubertal_60_149d,Female
SAMN00000447,Muscle,Muscle,94,Pre_pubertal_60_149d,Female
SAMN00000448,Muscle,Muscle,127,Pre_pubertal_60_149d,Female
SAMN00000449,Muscle,Muscle,64,Pre_pubertal_60_149d,Female
SAMN00000450,Muscle,Muscle,60,Pre_pubertal_60_149d,Male
SAMN00000451,Muscle,Muscle,78,Pre_pubertal_60_149d,Female
SAMN00000452,Muscle,Muscle,111,Pre_pubertal_60_149d,Female
SAMN00000453,Muscle,Muscle,98,Pre_pubertal_60_149d,Male
SAMN00000454,Muscle,Muscle,126,Pre_pubertal_60_149d,Male
SAMN00000455,Muscle,Muscle,101,Pre_pubertal_60_149d,Female
SAMN00000456,Muscle,Muscle,128,Pre_pubertal_60_149d,Male
SAMN00000457,Muscle,Muscle,112,Pre_pubertal_60_149d,Male
SAMN00000458,Muscle,Muscle,94,Pre_pubertal_60_149d,Female
SAMN00000459,Muscle,Muscle,73,Pre_pubertal_60_149d,Male
SAMN00000460,Muscle,Muscle,146,Pre_pubertal_60_149d,Female
SAMN00000461,Muscle,Muscle,104,Pre_pubertal_60_149d,Male
SAMN00000462,Muscle,Muscle,70,Pre_pubertal_60_149d,Male
SAMN00000463,Muscle,Muscle,146,Pre_pubertal_60_149d,Male
SAMN00000464,Muscle,Muscle,127,Pre_pubertal_60_149d,Female
SAMN00000465,Muscle,Muscle,132,Pre_pubertal_60_149d,Male
SAMN00000466,Muscle,Muscle,104,Pre_pubertal_60_149d,Male
SAMN00000467,Muscle,Muscle,82,Pre_pubertal_60_149d,Female
SAMN00000468,Muscle,Muscle,127,Pre_pubertal_60_149d,Male
SAMN00000469,Muscle,Muscle,148,Pre_pubertal_60_149d,Female
SAMN00000470,Muscle,Muscle,69,Pre_pubertal_60_149d,Female
SAMN00000471,Muscle,Muscle,80,Pre_pubertal_60_149d,Female
SAMN00000472,Muscle,Muscle,136,Pre_pubertal_60_149d,Female
SAMN00000473,Muscle,Muscle,69,Pre_pubertal_60_149d,Female
SAMN00000474,Muscle,Muscle,83,Pre_pubertal_60_149d,Male
SAMN00000475,Muscle,Muscle,92,Pre_pubertal_60_149d,Female
SAMN00000476,Muscle,Muscle,119,Pre_pubertal_60_149d,Male
SAMN00000477,Muscle,Muscle,136,Pre_pubertal_60_149d,Female
SAMN00000478,Muscle,Muscle,70,Pre_pubertal_60_149d,Male
SAMN00000479,Muscle,Muscle,114,Pre_pubertal_60_149d,Male
SAMN00000480,Muscle,Muscle,101,Pre_pubertal_60_149d,Male
SAMN00000481,Muscle,Muscle,85,Pre_pubertal_60_149d,Male
SAMN00000482,Muscle,Muscle,137,Pre_pubertal_60_149d,Male
SAMN00000483,Muscle,Muscle,102,Pre_pubertal_60_149d,Female
SAMN00000484,Muscle,Muscle,138,Pre_pubertal_60_149d,Female
SAMN00000485,Muscle,Muscle,127,Pre_pubertal_60_149d,Male
SAMN00000486,Muscle,Muscle,117,Pre_pubertal_60_149d,Male
SAMN00000487,Muscle,Muscle,298,Post_pubertal_150_365d,Male
SAMN00000488,Muscle,Muscle,305,Post_pubertal_150_365d,Female
SAMN00000489,Muscle,Muscle,176,Post_pubertal_150_365d,Male
SAMN00000490,Muscle,Muscle,266,Post_pubertal_150_365d,Male
SAMN00000491,Muscle,Muscle,223,Post_pubertal_150_365d,Female
SAMN00000492,Muscle,Muscle,195,Post_pubertal_150_365d,Female
SAMN00000493,Muscle,Muscle,196,Post_pubertal_150_365d,Female
SAMN00000494,Muscle,Muscle,180,Post_pubertal_150_365d,Male
SAMN00000495,Muscle,Muscle,354,Post_pubertal_150_365d,Male
SAMN00000496,Muscle,Muscle,156,Post_pubertal_150_365d,Female
SAMN00000497,Muscle,Muscle,275,Post_pubertal_150_365d,Male
SAMN00000498,Muscle,Muscle,359,Post_pubertal_150_365d,Female
SAMN00000499,Muscle,Muscle,335,Post_pubertal_150_365d,Female
SAMN00000500,Muscle,Muscle,347,Post_pubertal_150_365d,Female
SAMN00000501,Muscle,Muscle,162,Post_pubertal_150_365d,Female
SAMN00000502,Muscle,Muscle,317,Post_pubertal_150_365d,Female
SAMN00000503,Muscle,Muscle,295,Post_pubertal_150_365d,Male
SAMN00000504,Muscle,Muscle,286,Post_pubertal_150_365d,Female
SAMN00000505,Muscle,Muscle,324,Post_pubertal_150_365d,Female
SAMN00000506,Muscle,Muscle,252,Post_pubertal_150_365d,Male
SAMN00000507,Muscle,Muscle,326,Post_pubertal_150_365d,Female
SAMN00000508,Muscle,Muscle,337,Post_pubertal_150_365d,Male
SAMN00000509,Muscle,Muscle,297,Post_pubertal_150_365d,Female
SAMN00000510,Muscle,Muscle,164,Post_pubertal_150_365d,Female
SAMN00000511,Muscle,Muscle,345,Post_pubertal_150_365d,Male
SAMN00000512,Muscle,Muscle,229,Post_pubertal_150_365d,Male
SAMN00000513,Muscle,Muscle,190,Post_pubertal_150_365d,Male
SAMN00000514,Muscle,Muscle,295,Post_pubertal_150_365d,Male
SAMN00000515,Muscle,Muscle,238,Post_pubertal_150_365d,Male
SAMN00000516,Muscle,Muscle,271,Post_pubertal_150_365d,Female
SAMN00000517,Muscle,Muscle,213,Post_pubertal_150_365d,Female
SAMN00000518,Muscle,Muscle,215,Post_pubertal_150_365d,Female
SAMN00000519,Muscle,Muscle,226,Post_pubertal_150_365d,Female
SAMN00000520,Muscle,Muscle,277,Post_pubertal_150_365d,Female
SAMN00000521,Muscle,Muscle,247,Post_pubertal_150_365d,Male
SAMN00000522,Muscle,Muscle,311,Post_pubertal_150_365d,Male
SAMN00000523,Muscle,Muscle,231,Post_pubertal_150_365d,Female
SAMN00000524,Muscle,Muscle,274,Post_pubertal_150_365d,Female
SAMN00000525,Muscle,Muscle,337,Post_pubertal_150_365d,Female
SAMN00000526,Muscle,Muscle,317,Post_pubertal_150_365d,Female
SAMN00000527,Muscle,Muscle,217,Post_pubertal_150_365d,Female
SAMN00000528,Muscle,Muscle,199,Post_pubertal_150_365d,Male
SAMN00000529,Muscle,Muscle,161,Post_pubertal_150_365d,Male
SAMN00000530,Muscle,Muscle,234,Post_pubertal_150_365d,Male
SAMN00000531,Muscle,Muscle,314,Post_pubertal_150_365d,Male
SAMN00000532,Muscle,Muscle,162,Post_pubertal_150_365d,Female
SAMN00000533,Muscle,Muscle,260,Post_pubertal_150_365d,Female
SAMN00000534,Muscle,Muscle,253,Post_pubertal_150_365d,Female
SAMN00000535,Muscle,Muscle,242,Post_pubertal_150_365d,Female
SAMN00000536,Muscle,Muscle,331,Post_pubertal_150_365d,Male
SAMN00000537,Muscle,Muscle,179,Post_pubertal_150_365d,Female
SAMN00000538,Muscle,Muscle,264,Post_pubertal_150_365d,Female
SAMN00000539,Muscle,Muscle,205,Post_pubertal_150_365d,Male
SAMN00000540,Muscle,Muscle,197,Post_pubertal_150_365d,Female
SAMN00000541,Muscle,Muscle,350,Post_pubertal_150_365d,Male
SAMN00000542,Muscle,Muscle,213,Post_pubertal_150_365d,Male
SAMN00000543,Muscle,Muscle,192,Post_pubertal_150_365d,Female
SAMN00000544,Muscle,Muscle,273,Post_pubertal_150_365d,Male
SAMN00000545,Muscle,Muscle,264,Post_pubertal_150_365d,Male
SAMN00000546,Muscle,Muscle,222,Post_pubertal_150_365d,Female
SAMN00000547,Muscle,Muscle,284,Post_pubertal_150_365d,Male
SAMN00000548,Muscle,Muscle,257,Post_pubertal_150_365d,Male
SAMN00000549,Muscle,Muscle,236,Post_pubertal_150_365d,Male
SAMN00000550,Muscle,Muscle,180,Post_pubertal_150_365d,Female
SAMN00000551,Muscle,Muscle,296,Post_pubertal_150_365d,Female
SAMN00000552,Muscle,Muscle,177,Post_pubertal_150_365d,Female
SAMN00000553,Muscle,Muscle,313,Post_pubertal_150_365d,Male
SAMN00000554,Muscle,Muscle,233,Post_pubertal_150_365d,Female
SAMN00000555,Muscle,Muscle,257,Post_pubertal_150_365d,Male
SAMN00000556,Muscle,Muscle,221,Post_pubertal_150_365d,Female
SAMN00000557,Muscle,Muscle,171,Post_pubertal_150_365d,Male
SAMN00000558,Muscle,Muscle,327,Post_pubertal_150_365d,Male
SAMN00000559,Muscle,Muscle,235,Post_pubertal_150_365d,Male
SAMN00000560,Muscle,Muscle,306,Post_pubertal_150_365d,Male
SAMN00000561,Muscle,Muscle,159,Post_pubertal_150_365d,Male
SAMN00000562,Muscle,Muscle,214,Post_pubertal_150_365d,Male
SAMN00000563,Muscle,Muscle,152,Post_pubertal_150_365d,Male
SAMN00000564,Muscle,Muscle,326,Post_pubertal_150_365d,Female
SAMN00000565,Muscle,Muscle,309,Post_pubertal_150_365d,Male
SAMN00000566,Muscle,Muscle,164,Post_pubertal_150_365d,Male
SAMN00000567,Muscle,Muscle,285,Post_pubertal_150_365d,Female
SAMN00000568,Muscle,Muscle,235,Post_pubertal_150_365d,Female
SAMN00000569,Muscle,Muscle,260,Post_pubertal_150_365d,Male
SAMN00000570,Muscle,Muscle,180,Post_pubertal_150_365d,Female
SAMN00000571,Muscle,Muscle,184,Post_pubertal_150_365d,Female
SAMN00000572,Muscle,Muscle,207,Post_pubertal_150_365d,Female
SAMN00000573,Muscle,Muscle,199,Post_pubertal_150_365d,Male
SAMN00000574,Muscle,Muscle,237,Post_pubertal_150_365d,Female
SAMN00000575,Muscle,Muscle,206,Post_pubertal_150_365d,Female
SAMN00000576,Muscle,Muscle,348,Post_pubertal_150_365d,Male
SAMN00000577,Muscle,Muscle,333,Post_pubertal_150_365d,Female
SAMN00000578,Muscle,Muscle,252,Post_pubertal_150_365d,Female
SAMN00000579,Muscle,Muscle,157,Post_pubertal_150_365d,Male
SAMN00000580,Muscle,Muscle,295,Post_pubertal_150_365d,Female
SAMN00000581,Muscle,Muscle,167,Post_pubertal_150_365d,Female
SAMN00000582,Muscle,Muscle,312,Post_pubertal_150_365d,Male
SAMN00000583,Muscle,Muscle,302,Post_pubertal_150_365d,Female
SAMN00000584,Muscle,Muscle,211,Post_pubertal_150_365d,Male
SAMN00000585,Muscle,Muscle,277,Post_pubertal_150_365d,Male
SAMN00000586,Muscle,Muscle,305,Post_pubertal_150_365d,Female
SAMN00000587,Muscle,Muscle,222,Post_pubertal_150_365d,Male
SAMN00000588,Muscle,Muscle,253,Post_pubertal_150_365d,Female
SAMN00000589,Muscle,Muscle,251,Post_pubertal_150_365d,Female
SAMN00000590,Muscle,Muscle,334,Post_pubertal_150_365d,Female
SAMN00000591,Muscle,Muscle,307,Post_pubertal_150_365d,Male
SAMN00000592,Muscle,Muscle,250,Post_pubertal_150_365d,Male
SAMN00000593,Muscle,Muscle,341,Post_pubertal_150_365d,Male
SAMN00000594,Muscle,Muscle,156,Post_pubertal_150_365d,Male
SAMN00000595,Muscle,Muscle,326,Post_pubertal_150_365d,Male
SAMN00000596,Muscle,Muscle,308,Post_pubertal_150_365d,Male
SAMN00000597,Muscle,Muscle,245,Post_pubertal_150_365d,Male
SAMN00000598,Muscle,Muscle,304,Post_pubertal_150_365d,Male
SAMN00000599,Muscle,Muscle,348,Post_pubertal_150_365d,Female
SAMN00000600,Muscle,Muscle,309,Post_pubertal_150_365d,Male
SAMN00000601,Muscle,Muscle,167,Post_pubertal_150_365d,Male
SAMN00000602,Muscle,Muscle,154,Post_pubertal_150_365d,Female
SAMN00000603,Muscle,Muscle,359,Post_pubertal_150_365d,Male
SAMN00000604,Muscle,Muscle,261,Post_pubertal_150_365d,Female
SAMN00000605,Muscle,Muscle,283,Post_pubertal_150_365d,Male
SAMN00000606,Muscle,Muscle,289,Post_pubertal_150_365d,Male
SAMN00000607,Muscle,Muscle,266,Post_pubertal_150_365d,Male
SAMN00000608,Muscle,Muscle,343,Post_pubertal_150_365d,Male
SAMN00000609,Muscle,Muscle,199,Post_pubertal_150_365d,Female
SAMN00000610,Muscle,Muscle,327,Post_pubertal_150_365d,Male
SAMN00000611,Muscle,Muscle,263,Post_pubertal_150_365d,Male
SAMN00000612,Muscle,Muscle,338,Post_pubertal_150_365d,Female
SAMN00000613,Muscle,Muscle,151,Post_pubertal_150_365d,Male
SAMN00000614,Muscle,Muscle,193,Post_pubertal_150_365d,Female
SAMN00000615,Muscle,Muscle,237,Post_pubertal_150_365d,Female
SAMN00000616,Muscle,Muscle,204,Post_pubertal_150_365d,Female
SAMN00000617,Muscle,Muscle,252,Post_pubertal_150_365d,Female
SAMN00000618,Muscle,Muscle,251,Post_pubertal_150_365d,Female
SAMN00000619,Muscle,Muscle,264,Post_pubertal_150_365d,Female
SAMN00000620,Muscle,Muscle,305,Post_pubertal_150_365d,Male
SAMN00000621,Muscle,Muscle,302,Post_pubertal_150_365d,Female
SAMN00000622,Muscle,Muscle,173,Post_pubertal_150_365d,Female
SAMN00000623,Muscle,Muscle,314,Post_pubertal_150_365d,Female
SAMN00000624,Muscle,Muscle,171,Post_pubertal_150_365d,Female
SAMN00000625,Muscle,Muscle,199,Post_pubertal_150_365d,Male
SAMN00000626,Muscle,Muscle,161,Post_pubertal_150_365d,Female
SAMN00000627,Muscle,Muscle,302,Post_pubertal_150_365d,Male
SAMN00000628,Muscle,Muscle,314,Post_pubertal_150_365d,Female
SAMN00000629,Muscle,Muscle,184,Post_pubertal_150_365d,Male
SAMN00000630,Muscle,Muscle,253,Post_pubertal_150_365d,Female
SAMN00000631,Muscle,Muscle,322,Post_pubertal_150_365d,Female
SAMN00000632,Muscle,Muscle,318,Post_pubertal_150_365d,Female
SAMN00000633,Muscle,Muscle,303,Post_pubertal_150_365d,Male
SAMN00000634,Muscle,Muscle,211,Post_pubertal_150_365d,Female
SAMN00000635,Muscle,Muscle,239,Post_pubertal_150_365d,Male
SAMN00000636,Muscle,Muscle,272,Post_pubertal_150_365d,Male
SAMN00000637,Muscle,Muscle,305,Post_pubertal_150_365d,Female
SAMN00000638,Muscle,Muscle,321,Post_pubertal_150_365d,Male
SAMN00000639,Muscle,Muscle,330,Post_pubertal_150_365d,Male
SAMN00000640,Muscle,Muscle,193,Post_pubertal_150_365d,Male
SAMN00000641,Muscle,Muscle,329,Post_pubertal_150_365d,Male
SAMN00000642,Muscle,Muscle,358,Post_pubertal_150_365d,Female
SAMN00000643,Muscle,Muscle,178,Post_pubertal_150_365d,Male
SAMN00000644,Muscle,Muscle,295,Post_pubertal_150_365d,Female
SAMN00000645,Muscle,Muscle,242,Post_pubertal_150_365d,Male
SAMN00000646,Muscle,Muscle,332,Post_pubertal_150_365d,Male
SAMN00000647,Muscle,Muscle,236,Post_pubertal_150_365d,Male
SAMN00000648,Muscle,Muscle,183,Post_pubertal_150_365d,Female
SAMN00000649,Muscle,Muscle,166,Post_pubertal_150_365d,Male
SAMN00000650,Muscle,Muscle,289,Post_pubertal_150_365d,Female
SAMN00000651,Muscle,Muscle,321,Post_pubertal_150_365d,Male
SAMN00000652,Muscle,Muscle,170,Post_pubertal_150_365d,Male
SAMN00000653,Muscle,Muscle,260,Post_pubertal_150_365d,Female
SAMN00000654,Muscle,Muscle,336,Post_pubertal_150_365d,Female
SAMN00000655,Muscle,Muscle,332,Post_pubertal_150_365d,Male
SAMN00000656,Muscle,Muscle,241,Post_pubertal_150_365d,Male
SAMN00000657,Muscle,Muscle,307,Post_pubertal_150_365d,Female
SAMN00000658,Muscle,Muscle,233,Post_pubertal_150_365d,Female
SAMN00000659,Muscle,Muscle,262,Post_pubertal_150_365d,Female
SAMN00000660,Muscle,Muscle,281,Post_pubertal_150_365d,Female
SAMN00000661,Muscle,Muscle,313,Post_pubertal_150_365d,Female
SAMN00000662,Muscle,Muscle,349,Post_pubertal_150_365d,Male
SAMN00000663,Muscle,Muscle,294,Post_pubertal_150_365d,Female
SAMN00000664,Muscle,Muscle,316,Post_pubertal_150_365d,Female
SAMN00000665,Muscle,Muscle,352,Post_pubertal_150_365d,Female
SAMN00000666,Muscle,Muscle,155,Post_pubertal_150_365d,Male
SAMN00000667,Muscle,Muscle,311,Post_pubertal_150_365d,Female
SAMN00000668,Muscle,Muscle,277,Post_pubertal_150_365d,Female
SAMN00000669,Muscle,Muscle,236,Post_pubertal_150_365d,Male
SAMN00000670,Muscle,Muscle,151,Post_pubertal_150_365d,Female
SAMN00000671,Muscle,Muscle,191,Post_pubertal_150_365d,Male
SAMN00000672,Muscle,Muscle,222,Post_pubertal_150_365d,Male
SAMN00000673,Muscle,Muscle,358,Post_pubertal_150_365d,Female
SAMN00000674,Muscle,Muscle,229,Post_pubertal_150_365d,Female
SAMN00000675,Muscle,Muscle,340,Post_pubertal_150_365d,Male
SAMN00000676,Muscle,Muscle,364,Post_pubertal_150_365d,Male
SAMN00000677,Muscle,Muscle,205,Post_pubertal_150_365d,Female
SAMN00000678,Muscle,Muscle,348,Post_pubertal_150_365d,Female
SAMN00000679,Muscle,Muscle,183,Post_pubertal_150_365d,Female
SAMN00000680,Muscle,Muscle,322,Post_pubertal_150_365d,Male
SAMN00000681,Muscle,Muscle,243,Post_pubertal_150_365d,Male
SAMN00000682,Muscle,Muscle,247,Post_pubertal_150_365d,Male
SAMN00000683,Muscle,Muscle,208,Post_pubertal_150_365d,Male
SAMN00000684,Muscle,Muscle,294,Post_pubertal_150_365d,Female
SAMN00000685,Muscle,Muscle,338,Post_pubertal_150_365d,Female
SAMN00000686,Muscle,Muscle,313,Post_pubertal_150_365d,Male
SAMN00000687,Muscle,Muscle,317,Post_pubertal_150_365d,Female
SAMN00000688,Muscle,Muscle,151,Post_pubertal_150_365d,Female
SAMN00000689,Muscle,Muscle,312,Post_pubertal_150_365d,Male
SAMN00000690,Muscle,Muscle,177,Post_pubertal_150_365d,Male
SAMN00000691,Muscle,Muscle,287,Post_pubertal_150_365d,Female
SAMN00000692,Muscle,Muscle,322,Post_pubertal_150_365d,Male
SAMN00000693,Muscle,Muscle,292,Post_pubertal_150_365d,Male
SAMN00000694,Muscle,Muscle,348,Post_pubertal_150_365d,Male
SAMN00000695,Muscle,Muscle,290,Post_pubertal_150_365d,Male
SAMN00000696,Muscle,Muscle,265,Post_pubertal_150_365d,Male
SAMN00000697,Muscle,Muscle,237,Post_pubertal_150_365d,Female
SAMN00000698,Muscle,Muscle,251,Post_pubertal_150_365d,Male
SAMN00000699,Muscle,Muscle,361,Post_pubertal_150_365d,Male
SAMN00000700,Muscle,Muscle,152,Post_pubertal_150_365d,Female
SAMN00000701,Muscle,Muscle,298,Post_pubertal_150_365d,Female
SAMN00000702,Muscle,Muscle,183,Post_pubertal_150_365d,Male
SAMN00000703,Muscle,Muscle,312,Post_pubertal_150_365d,Female
SAMN00000704,Muscle,Muscle,264,Post_pubertal_150_365d,Male
SAMN00000705,Muscle,Muscle,318,Post_pubertal_150_365d,Male
SAMN00000706,Muscle,Muscle,181,Post_pubertal_150_365d,Male
SAMN00000707,Muscle,Muscle,308,Post_pubertal_150_365d,Male
SAMN00000708,Muscle,Muscle,297,Post_pubertal_150_365d,Female
SAMN00000709,Muscle,Muscle,335,Post_pubertal_150_365d,Female
SAMN00000710,Muscle,Muscle,194,Post_pubertal_150_365d,Female
SAMN00000711,Muscle,Muscle,155,Post_pubertal_150_365d,Male
SAMN00000712,Muscle,Muscle,333,Post_pubertal_150_365d,Female
SAMN00000713,Muscle,Muscle,227,Post_pubertal_150_365d,Male
SAMN00000714,Muscle,Muscle,328,Post_pubertal_150_365d,Female
SAMN00000715,Muscle,Muscle,213,Post_pubertal_150_365d,Male
SAMN00000716,Muscle,Muscle,325,Post_pubertal_150_365d,Female
SAMN00000717,Muscle,Muscle,299,Post_pubertal_150_365d,Female
SAMN00000718,Muscle,Muscle,275,Post_pubertal_150_365d,Male
SAMN00000719,Muscle,Muscle,153,Post_pubertal_150_365d,Female
SAMN00000720,Muscle,Muscle,271,Post_pubertal_150_365d,Female
SAMN00000721,Muscle,Muscle,363,Post_pubertal_150_365d,Male
SAMN00000722,Muscle,Muscle,264,Post_pubertal_150_365d,Female
SAMN00000723,Muscle,Muscle,350,Post_pubertal_150_365d,Female
SAMN00000724,Muscle,Muscle,350,Post_pubertal_150_365d,Male
SAMN00000725,Muscle,Muscle,234,Post_pubertal_150_365d,Male
SAMN00000726,Muscle,Muscle,203,Post_pubertal_150_365d,Female
SAMN00000727,Muscle,Muscle,301,Post_pubertal_150_365d,Male
SAMN00000728,Muscle,Muscle,301,Post_pubertal_150_365d,Female
SAMN00000729,Muscle,Muscle,153,Post_pubertal_150_365d,Female
SAMN00000730,Muscle,Muscle,266,Post_pubertal_150_365d,Male
SAMN00000731,Muscle,Muscle,213,Post_pubertal_150_365d,Female
SAMN00000732,Muscle,Muscle,275,Post_pubertal_150_365d,Female
SAMN00000733,Muscle,Muscle,269,Post_pubertal_150_365d,Female
SAMN00000734,Muscle,Muscle,299,Post_pubertal_150_365d,Male
SAMN00000735,Muscle,Muscle,261,Post_pubertal_150_365d,Female
SAMN00000736,Muscle,Muscle,300,Post_pubertal_150_365d,Male
SAMN00000737,Muscle,Muscle,299,Post_pubertal_150_365d,Female
SAMN00000738,Muscle,Muscle,165,Post_pubertal_150_365d,Male
SAMN00000739,Muscle,Muscle,273,Post_pubertal_150_365d,Male
SAMN00000740,Muscle,Muscle,363,Post_pubertal_150_365d,Male
SAMN00000741,Muscle,Muscle,253,Post_pubertal_150_365d,Female
SAMN00000742,Muscle,Muscle,243,Post_pubertal_150_365d,Male
SAMN00000743,Muscle,Muscle,358,Post_pubertal_150_365d,Female
SAMN00000744,Muscle,Muscle,261,Post_pubertal_150_365d,Female
SAMN00000745,Muscle,Muscle,317,Post_pubertal_150_365d,Male
SAMN00000746,Muscle,Muscle,202,Post_pubertal_150_365d,Female
SAMN00000747,Muscle,Muscle,174,Post_pubertal_150_365d,Female
SAMN00000748,Muscle,Muscle,180,Post_pubertal_150_365d,Male
SAMN00000749,Muscle,Muscle,349,Post_pubertal_150_365d,Male
SAMN00000750,Muscle,Muscle,349,Post_pubertal_150_365d,Male
SAMN00000751,Muscle,Muscle,271,Post_pubertal_150_365d,Male
SAMN00000752,Muscle,Muscle,288,Post_pubertal_150_365d,Male
SAMN00000753,Muscle,Muscle,169,Post_pubertal_150_365d,Female
SAMN00000754,Muscle,Muscle,204,Post_pubertal_150_365d,Female
SAMN00000755,Muscle,Muscle,293,Post_pubertal_150_365d,Male
SAMN00000756,Muscle,Muscle,328,Post_pubertal_150_365d,Male
SAMN00000757,Muscle,Muscle,321,Post_pubertal_150_365d,Male
SAMN00000758,Muscle,Muscle,181,Post_pubertal_150_365d,Female
SAMN00000759,Muscle,Muscle,200,Post_pubertal_150_365d,Female
SAMN00000760,Muscle,Muscle,178,Post_pubertal_150_365d,Male
SAMN00000761,Muscle,Muscle,226,Post_pubertal_150_365d,Female
SAMN00000762,Muscle,Muscle,173,Post_pubertal_150_365d,Female
SAMN00000763,Muscle,Muscle,232,Post_pubertal_150_365d,Female
SAMN00000764,Muscle,Muscle,352,Post_pubertal_150_365d,Male
SAMN00000765,Muscle,Muscle,238,Post_pubertal_150_365d,Female
SAMN00000766,Muscle,Muscle,180,Post_pubertal_150_365d,Female
SAMN00000767,Muscle,Muscle,153,Post_pubertal_150_365d,Female
SAMN00000768,Muscle,Muscle,229,Post_pubertal_150_365d,Male
SAMN00000769,Muscle,Muscle,250,Post_pubertal_150_365d,Female
SAMN00000770,Muscle,Muscle,302,Post_pubertal_150_365d,Female
SAMN00000771,Muscle,Muscle,299,Post_pubertal_150_365d,Female
SAMN00000772,Muscle,Muscle,346,Post_pubertal_150_365d,Male
SAMN00000773,Muscle,Muscle,152,Post_pubertal_150_365d,Female
SAMN00000774,Muscle,Muscle,363,Post_pubertal_150_365d,Female
SAMN00000775,Muscle,Muscle,286,Post_pubertal_150_365d,Male
SAMN00000776,Muscle,Muscle,283,Post_pubertal_150_365d,Male
SAMN00000777,Muscle,Muscle,275,Post_pubertal_150_365d,Male
SAMN00000778,Muscle,Muscle,235,Post_pubertal_150_365d,Male
SAMN00000779,Muscle,Muscle,239,Post_pubertal_150_365d,Male
SAMN00000780,Muscle,Muscle,305,Post_pubertal_150_365d,Female
SAMN00000781,Muscle,Muscle,223,Post_pubertal_150_365d,Female
SAMN00000782,Muscle,Muscle,294,Post_pubertal_150_365d,Female
SAMN00000783,Muscle,Muscle,345,Post_pubertal_150_365d,Male
SAMN00000784,Muscle,Muscle,212,Post_pubertal_150_365d,Male
SAMN00000785,Muscle,Muscle,174,Post_pubertal_150_365d,Male
SAMN00000786,Muscle,Muscle,158,Post_pubertal_150_365d,Male
SAMN00000787,Muscle,Muscle,215,Post_pubertal_150_365d,Male
SAMN00000788,Muscle,Muscle,228,Post_pubertal_150_365d,Male
SAMN00000789,Muscle,Muscle,332,Post_pubertal_150_365d,Female
SAMN00000790,Muscle,Muscle,150,Post_pubertal_150_365d,Male
SAMN00000791,Muscle,Muscle,211,Post_pubertal_150_365d,Male
SAMN00000792,Muscle,Muscle,231,Post_pubertal_150_365d,Male
SAMN00000793,Muscle,Muscle,219,Post_pubertal_150_365d,Male
SAMN00000794,Muscle,Muscle,225,Post_pubertal_150_365d,Female
SAMN00000795,Muscle,Muscle,285,Post_pubertal_150_365d,Male
SAMN00000796,Muscle,Muscle,321,Post_pubertal_150_365d,Female
SAMN00000797,Muscle,Muscle,237,Post_pubertal_150_365d,Female
SAMN00000798,Muscle,Muscle,348,Post_pubertal_150_365d,Female
SAMN00000799,Muscle,Muscle,289,Post_pubertal_150_365d,Female
SAMN00000800,Muscle,Muscle,333,Post_pubertal_150_365d,Female
SAMN00000801,Muscle,Muscle,159,Post_pubertal_150_365d,Female
SAMN00000802,Muscle,Muscle,183,Post_pubertal_150_365d,Male
SAMN00000803,Muscle,Muscle,202,Post_pubertal_150_365d,Female
SAMN00000804,Muscle,Muscle,234,Post_pubertal_150_365d,Male
SAMN00000805,Muscle,Muscle,330,Post_pubertal_150_365d,Female
SAMN00000806,Muscle,Muscle,240,Post_pubertal_150_365d,Male
