tissue,rank,ensembl_id,symbol,description,biotype
Muscle,19,ENSSSCG00000015796,PDLIM3,"PDZ and LIM domain 3 [Source:VGNC Symbol;Acc:VGNC:95945]",protein_coding
Muscle,20,ENSSSCG00000036741,ENSSSCG00000036741,"N/A",N/A
Muscle,21,ENSSSCG00000026707,XCR1,"X-C motif chemokine receptor 1 [Source:VGNC Symbol;Acc:VGNC:94994]",protein_coding
Muscle,22,ENSSSCG00000013349,HTATIP2,"HIV-1 Tat interactive protein 2 [Source:VGNC Symbol;Acc:VGNC:88997]",protein_coding
Muscle,23,ENSSSCG00000026087,GKAP1,"G kinase anchoring protein 1 [Source:VGNC Symbol;Acc:VGNC:95850]",protein_coding
Muscle,24,ENSSSCG00000002792,ENSSSCG00000002792,"N/A",N/A
Muscle,25,ENSSSCG00000035805,DLK1,"delta like non-canonical Notch ligand 1 [Source:VGNC Symbol;Acc:VGNC:87333]",protein_coding
Muscle,26,ENSSSCG00000011646,KY,"kyphoscoliosis peptidase [Source:VGNC Symbol;Acc:VGNC:89609]",protein_coding
Muscle,27,ENSSSCG00000051524,ENSSSCG00000051524,"",lncRNA
Muscle,28,ENSSSCG00000042876,ENSSSCG00000042876,"",processed_pseudogene
Muscle,29,ENSSSCG00000012402,CXCR3,"C-X-C motif chemokine receptor 3 [Source:VGNC Symbol;Acc:VGNC:87108]",protein_coding
Muscle,30,ENSSSCG00000032684,BOK,"BCL2 family apoptosis regulator BOK [Source:VGNC Symbol;Acc:VGNC:95496]",protein_coding
Muscle,31,ENSSSCG00000022901,KLHDC3,"kelch domain containing 3 [Source:VGNC Symbol;Acc:VGNC:89504]",protein_coding
Muscle,32,ENSSSCG00000012234,SRPX,"sushi repeat containing protein X-linked [Source:UniProtKB Gene Name;Acc:A0A4X1U8J2]",protein_coding
Muscle,33,ENSSSCG00000033323,UBE2D1,"ubiquitin conjugating enzyme E2 D1 [Source:VGNC Symbol;Acc:VGNC:94641]",protein_coding
Muscle,34,ENSSSCG00000028552,BHLHE41,"basic helix-loop-helix family member e41 [Source:VGNC Symbol;Acc:VGNC:85815]",protein_coding
Muscle,35,ENSSSCG00000004170,ENSSSCG00000004170,"",protein_coding
Muscle,36,ENSSSCG00000021333,PAK4,"p21 (RAC1) activated kinase 4 [Source:VGNC Symbol;Acc:VGNC:98526]",protein_coding
Muscle,37,ENSSSCG00000002863,LRP3,"LDL receptor related protein 3 [Source:VGNC Symbol;Acc:VGNC:89819]",protein_coding
Muscle,38,ENSSSCG00000026211,NRN1,"neuritin 1 [Source:VGNC Symbol;Acc:VGNC:90900]",protein_coding
Muscle,39,ENSSSCG00000000148,ENSSSCG00000000148,"",protein_coding
Muscle,40,ENSSSCG00000039342,DNAI1,"dynein axonemal intermediate chain 1 [Source:VGNC Symbol;Acc:VGNC:108269]",protein_coding
Muscle,41,ENSSSCG00000036747,WAS,"WASP actin nucleation promoting factor [Source:VGNC Symbol;Acc:VGNC:96603]",protein_coding
Muscle,42,ENSSSCG00000031077,KPNA4,"karyopherin subunit alpha 4 [Source:VGNC Symbol;Acc:VGNC:89563]",protein_coding
Muscle,43,ENSSSCG00000010570,KCNIP2,"potassium voltage-gated channel interacting protein 2 [Source:VGNC Symbol;Acc:VGNC:89349]",protein_coding
Muscle,44,ENSSSCG00000032581,ENSSSCG00000032581,"N/A",N/A
Muscle,45,ENSSSCG00000040140,CD3E,"CD3 epsilon subunit of T-cell receptor complex [Source:NCBI gene (formerly Entrezgene);Acc:397455]",protein_coding
Muscle,46,ENSSSCG00000038048,ENSSSCG00000038048,"",pseudogene
Muscle,47,ENSSSCG00000043913,ENSSSCG00000043913,"",lncRNA
Muscle,48,ENSSSCG00000016579,CCDC136,"coiled-coil domain containing 136 [Source:VGNC Symbol;Acc:VGNC:86257]",protein_coding
Muscle,49,ENSSSCG00000010300,MSS51,"MSS51 mitochondrial translational activator [Source:VGNC Symbol;Acc:VGNC:90428]",protein_coding
Muscle,50,ENSSSCG00000009192,PDLIM5,"PDZ and LIM domain 5 [Source:VGNC Symbol;Acc:VGNC:91284]",protein_coding
